utterance_id,speaker_id,utterance,gender
0000f47c22,7ab05,මහවැලි ගඟට ගොස් ආපසු එන ගමනේදී,f
000101700f,44e28,උන්වහන්සේ කපාපු,f
000107b539,b1a64,එය එතනින් අවසන් නොවී,f
00016825d3,2fff2,සිතින් අයහපතෙහි හැසිරීම නිසයි,f
000171b8fd,d6ccd,එවන් ශ්‍රේෂ්ඨ ජාතියක් බිහි කිරීමට,m
0002205a57,ccf7a,ඊට අවසරයද හිමිවූ බව ඇය කියන්නීය,m
00027ad5ee,0a2fe,යම්කිසි මනුෂ්‍යයෙක් සිල් රකිනවානම්,m
000285f6ac,bced5,ඒක නිසාම මම,m
0002dd5edb,f3efc,අපි පෘථිවියට ඉහලින් අභ්‍යවකාශයේ රඳවා තිබෙන උපකරණයක්,f
000322a647,d4fa9,එහි සිනමාත්මක බව ගැන,f
000366061b,3be3a,ගුරුවරයාට ඇහුම්කන් දීම,m
0003cebffe,6054f,කොහොමද උත්තර දෙන්නේ,f
00045cdced,a0028,පස්සේ කථාව අවසන් වුනා,m
0004e20896,14f37,ඔය වගේ දේවල් හොයාගන්න,f
000539c068,3d027,අසාමාන්‍ය කතාවක් ද රැඳී තිබේ,f
00054933a4,d9b9c,මල් පුබුදුවන්නට ගසට වෙඩි තැබුවහොත්,f
0005ab4c83,da449,අපට ඕනෙ කරන්නේ,f
000614f14c,1db0f,අපට දක්නට ලැබෙන්නේ,f
0006afc278,09ecc,ඒ කියන්නේ රහස් බණ කියන්නට ගියෝතින්,f
0006e022de,7e3d4,ස්තූතියි ඔබට,m
0006fcb914,be485,මේ කතාව මරාගෙන නොකෑවා විතරයි,f
0007379e15,9f1f5,සිවුවනක් පිරිසගේ,m
0007634ca3,1d339,මෙම යුද්ධය සඳහා දායකවී ඇති අතර,m
000772b4de,df981,නිවැරදිව අහන්න ලැබුණ,m
0007ff1aa5,33901,ඒකත් එක්ක,f
00081ce8d5,45f15,ඊට පස්සේ වෙන්නේ උන්ට සල්ලි හොයන්න,f
00083472df,f2ef0,මතකෙ තිබුණා,f
0008384c54,f2931,දුර ඉඳල එන්න පටන් ගත්තා,m
