original,first,second,correction
මෙ ආයතන,මෙ,ආයතන,මේ ආයතන
මෙ කතා,මෙ,කතා,මේ කතා
මෙ කරත්තෙ,මෙ,කරත්තෙ,මේ කරත්තෙ
මෙ කෑලේ,මෙ,කෑලේ,මේ කැලේ
මෙ කී,මෙ,කී,මේ කී
මෙ කොටස,මෙ,කොටස,මේ කොටස
මෙ කොටසෙදි,මෙ,කොටසෙදි,මේ කොටසෙදි
මෙ චිත්‍රපටිය,මෙ,චිත්‍රපටිය,මේ චිත්‍රපටිය
මෙ චිත්‍රපටියට,මෙ,චිත්‍රපටියට,මේ චිත්‍රපටියට
මෙ ඤාතීනං,මෙ,ඤාතීනං,මේ ඤාතීනං
මෙ දවස්වල,මෙ,දවස්වල,මේ දවස්වල
මෙ දැන්ම,මෙ,දැන්ම,මේ දැන්ම
මෙ දෙවැන්නෙහි,මෙ,දෙවැන්නෙහි,මේ දෙවැන්නෙහි
මෙ ධාතුන්,මෙ,ධාතුන්,මේ ධාතුන්
මෙ පවත්,මෙ,පවත්,මේ පවත්
මෙ පොස්ට්,මෙ,පොස්ට්,මේ පොස්ට්
මෙ බඳු,මෙ,බඳු,මෙබඳු
මෙ මිනිහා,මෙ,මිනිහා,මේ මිනිහා
මෙ රටේ,මෙ,රටේ,මේ රටේ
මෙ වගේ,මෙ,වගේ,මේ වගේ
මෙ වන,මෙ,වන,මේ වන
මෙ වාගේ,මෙ,වාගේ,මේ වාගේ
මෙ විහාර,මෙ,විහාර,මේ විහාර
මෙ සේ,මෙ,සේ,මෙසේ
