original,correction,utterance_ids
අන්තර්ගතය,අන්තර්ගත ය,0b2d4da94a-20b5894e52-87be067150-89d3862d3f-c6af5bdb20-e09baa0d98
අනිත්‍යය,අනිත්‍ය ය,a7c245dcf1-cc6e3e9794
අනිත්‍යය,අනිත්‍ය,eeed38b8a3
අනිවාර්යය,අනිවාර්ය,6938f6c1fc
අවශ්‍යය,අවශ්‍ය,1f3566a9b5-355a4c85cc-3db5b4a166-60ace0b59c-69a517883d-a2edb385fb-b34bd8b74d-c84dfc6e6c-d02c682c97
තෙමෙන්නද,තෙමන්න ද,2756aade1c
නිත්‍යානුකුලව,නීත්‍යානුකූල,d8d8c39761
බ්‍රිතාන්‍යය,බ්‍රිතාන්‍ය,fd37da7086
වැඩෙන්,වැඩෙන් ම,0942b98f79
යාමය,යාම ය,2e85b0ef38-3294e484da-5a08a21854-6749e3e39e-8461a7f4e8-ac59daebbf-be3cfe8209-bf941b607b
සෞඛ්‍යය,සෞඛ්‍ය,df60cb15fd
