original,correction
සමනළකන්ද,සමනල කන්ද
මන්තී්‍රවරයාගේ,මන්ත්‍රීවරයාගේ
ලේඛන ගත,ලේඛනගත
ඒත්්,ඒත්
අට දා ගේ,අටදාගේ
හැට දා ගේ,හැටදාගේ
බූවාට,බුවාට
අහුබුදු ලා ගේ,අහුබුදුලාගේ
මිෂනාරී වරුන් ගේ,මිෂනාරීවරුන්ගේ
බුදු රජාණන්,බුදුරජාණන්
බුදුරජාණන්වහන්සේ,බුදුරජාණන් වහන්සේ
ගීත වල ට,ගීතවලට
කියන්න වත්,කියන්නවත්
පුලුවන්,පුළුවන්
රසවිදින්නේ,රසවිඳින්නේ
මෙක,මේක
මීවන පලානේ,මීවනපලානේ
නැත්ද,නැද්ද
සැහෙන්න,සෑහෙන්න
ඉවත ලන්නේ,ඉවතලන්නේ
භූමියතුලදී,භූමිය තුළ දී
ඒත්රං,ඒ තරං
දිණමිණ,දිනමිණ
යාන් ඔය,යාන්ඔය
ඇමරිකාව,ඇමෙරිකාව
කළුරිය,කලුරිය
කැරළි,කැරලි
දමිල,දමිළ
දෙමල,දෙමළ
ඒත්්,ඒත්
ගාර්මන්ට්,ගාමන්ට්
ජනගහණය,ජනගහනය
ජනගහණයක්,ජනගහනයක්
ජනගහණයට,ජනගහනයට
අංශ්‍ය යෙන්,අංශයෙන්
මිණිමැරුම,මිනීමැරුම
ඒවාා,ඒවා
පේලි,පේළි
පේලිය,පේළිය
දෙවල්,දේවල්
පොළි,පොළී
සිටිය දී,සිටියදී
ව්‍යවස්තාව,ව්‍යවස්ථාව
ඒවාායෙහි,ඒවායෙහි
උබලට,උඹලට
උබ,උඹ
මේකරුණු,මේ කරුණු
පූජණීය,පූජනීය
හිඟ කමය,හිඟකම ය
සාධාරණී කරණය,සාධාරණීකරණය
රූපලාවන්‍ය කරණය,රූපලාවන්‍යකරණය
සිංහල කරණය,සිංහලකරණය
ඔබ තුමාගේ,ඔබතුමාගේ
මාලා කාරිය,මාලාකාරිය
ගමනා ගමනය,ගමනාගමනය
ලස්සනවිත්‍රපටියක්,ලස්සන චිත්‍රපටියක්
විනෝද ජනකය,විනෝදජනක ය
චමත්කාර ජනකය,චමත්කාරජනක ය
ගමේකා,ගමේ කා
එත්,ඒත්
පන,පණ
නිලියෙක්,නිළියෙක්
භිතිය,භීතිය
ත්‍රිමාණ,ත්‍රිමාන
මව් තුමිය,මව්තුමිය
වන තුරුය,වනතුරු ය
වන තුරු,වනතුරු
ද්වේෂ,ද්වේශ
චීවර දාරිය,චීවරධාරියා
ඉහල,ඉහළ
හැකිනම්,හැකි නම්
හෑක,හැක
ඔබවටා,ඔබ වටා
පුලුවනිනම්,පුළුවනි නම්
සාහිත්‍ය කාරයාගේ,සාහිත්‍යකාරයාගේ
මේකරන,මේ කරන
සිවු,සිව්
සිව් පසය,සිව්පසය
ප්‍රශ්ණ,ප්‍රශ්න
නිලමේ තුමාට,නිලමේතුමාට
දඬු මොනරය,දඬුමොණරය
ඒක රෙඛීය,ඒකරේඛීය
මන්ත්‍රී වරිය,මන්ත්‍රීවරිය
ගොවිපල වලය,ගොවිපලවල ය
වූ වාය,වූවා ය
හිරිහෑර,හිරිහැර
ලැබුනා,ලැබුණා
ජාතියට්,ජාතියත්
ගොඩනැගු,ගොඩනැඟූ
තත්වයෙන්,තත්ත්වයෙන්
කලේ,කළේ
පවූලක,පවුලක
සමාජිකයන්,සාමාජිකයන්
වුනු,වුණු
පහල,පහළ
ඡේදයක්ඇසුරින්,ඡේදයක් ඇසුරින්
පරිසර වේදී හු ,පරිසරවේදීහු
බිරි,බීරි
ඉවසිමෙන්,ඉවසීමෙන්
සේඔව්නගෙ,සේ ඔවුන්ගේ
කොපමන,කොපමණ
කදුලු,කඳුළු
වාර්තා කරුවාද,වාර්තාකරුවා ද
වැඩ කාරයාද,වැඩකාරයා ද
ඛේද ජනක,ඛේදජනක
මේකවිය,මේ කවිය
හාස්‍ය ජනකද,හාස්‍යජනක ද
මොනවගේ,මොන වගේ
රසව්න්දන,රසවින්දන
නිපද වූවක්,නිපදවූවක්
ජන ප්‍රවාද,ජනප්‍රවාද
යතුරු පැදියක්ද,යතුරුපැදියක් ද
කැලෑ බද,කැලෑබද
යෙද වූ,යෙදවූ
උබේ,උඹේ
මොලේට,මොළේට
අමාත්‍ය වරුද,අමාත්‍යවරු ද
වෙළෙන්ද කුගෙන්,වෙළෙන්දකුගෙන්
තිබුන,තිබුණ
උණතැනක්,වුණ තැනක්
අපරාද කාරයන්ව,අපරාධකාරයන්ව
ආවේග කාරිව,ආවේගකාරී ව
සාක්ෂර තාව,සාක්ෂරතාව
එක් තැන්ව,එක්තැන් ව
එකත් පස්ව,එකත්පස් ව
ඒක පාර්ශවීයව,ඒකපාර්ශ්වීය ව
පැව තුණි,පැවතුණි
වට පිටාව,වටපිටාව
නෑත,නැත
ඒක රාශීව,ඒකරාශී ව
පිලිගන්න,පිළිගන්න
ලඟ,ළඟ
